번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
64423,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 연안관리에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64424,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 예술인 복지 증진에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64425,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 영상산업육성 조례,2025-03-19,지방의회 9기,문화관광,,
64426,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 영유아 보육조례,2025-03-19,지방의회 9기,복지,,
64427,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 옛길 조성 및 관리 등에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64428,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64429,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 우리농산물의 안전과 안심 소비에 관한 조례,2025-03-19,지방의회 9기,농림수산,,
64430,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 우수 제품 품질인증 관리 조례,2025-03-19,지방의회 9기,경제산업,,
64431,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 웰니스 관광 육성 및 지원 조례,2025-03-19,지방의회 9기,문화관광,,
64432,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 유통분쟁조정위원회 설치 및 운영 조례,2025-03-19,지방의회 9기,경제산업,,
64433,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 응급의료 지원에 관한 조례,2025-03-19,지방의회 9기,보건의료,,
64434,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 의료관광산업 육성 및 지원 조례,2025-03-19,지방의회 9기,보건의료,,
64435,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 인공조명에 의한 빛공해 방지 조례,2025-03-19,지방의회 9기,환경,,
64436,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 인권 보장 및 증진에 관한 조례,2025-03-19,지방의회 9기,복지,,
64437,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 의용소방대 설치 및 운영에 관한 조례,2025-03-19,지방의회 9기,안전,,
64438,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 자동차등록번호판 발급대행자 지정방법 및 대행기간 등에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64439,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 자치경찰 운영 등에 관한 조례,2025-03-19,지방의회 9기,행정일반,,
64440,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 자살예방 및 생명존중문화 조성을 위한 조례,2025-03-19,지방의회 9기,보건의료,,
64441,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 자연유산의 보존 및 활용에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64442,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 작가의 산책길 및 문화예술시장 운영ㆍ관리 조례,2025-03-19,지방의회 9기,문화관광,,
64443,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 장애인 차별금지 및 인권보장 조례,2025-03-19,지방의회 9기,복지,,
64444,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 재난 및 안전관리 조례,2025-03-19,지방의회 9기,안전,,
64445,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 장애인 폭력 방지 및 피해자 보호ㆍ지원 조례,2025-03-19,지방의회 9기,복지,,
64446,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 재정관리 조례,2025-03-19,지방의회 9기,행정일반,,
64447,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 저류지 등 운영 및 관리에 관한 조례,2025-03-19,지방의회 9기,안전,,
64448,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 저소득주민 재래식화장실 정비지원 조례,2025-03-19,지방의회 9기,복지,,
64449,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 전기자동차 보급 촉진 및 이용 활성화에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64450,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 전기통신금융사기 피해 예방 지원 조례,2025-03-19,지방의회 9기,경제산업,,
64451,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 정착주민의 지역공동체 조성을 위한 조례,2025-03-19,지방의회 9기,행정일반,,
64452,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 제주국제자유도시종합계획심의회 설치ㆍ운영 및 광역시설계획의 고시 등에 관한 조례,2025-03-19,지방의회 9기,행정일반,,
64453,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 주거기본 조례,2025-03-19,지방의회 9기,건설도시,,
64454,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 주민자치센터 설치ㆍ운영 조례,2025-03-19,지방의회 9기,행정일반,,
64455,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 주민창안제도 운영 조례,2025-03-19,지방의회 9기,행정일반,,
64456,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 주민참여예산제 운영 조례,2025-03-19,지방의회 9기,행정일반,,
64457,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 주소정보 등에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64458,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지방대학 및 지역균형인재 육성에 관한 조례,2025-03-19,지방의회 9기,교육,,
64459,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 중소기업육성기금 조례,2025-03-19,지방의회 9기,경제산업,,
64460,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지식재산 진흥 조례,2025-03-19,지방의회 9기,경제산업,,
64461,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지역농어촌진흥기금 설치 및 운용 조례,2025-03-19,지방의회 9기,농림수산,,
64462,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지역서점 활성화 및 지원에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64463,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지역언론 발전 지원 조례,2025-03-19,지방의회 9기,행정일반,,
64464,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지역아동센터 운영 및 지원에 관한 조례,2025-03-19,지방의회 9기,복지,,
64465,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지역출판 진흥 조례,2025-03-19,지방의회 9기,문화관광,,
64466,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 지적측량업의 등록 및 지적 등에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64467,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 착한가격업소 선정 및 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64468,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 천연가스생산기지 주변지역 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64469,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 청년기금 설치 및 운용 조례,2025-03-19,지방의회 9기,복지,,
64470,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 천연동굴 보존 및 관리 등에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64471,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 청년대상 조례,2025-03-19,지방의회 9기,행정일반,,
64472,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 청소년 육성 및 지원 조례,2025-03-19,지방의회 9기,복지,,
64473,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 친환경우리농산물ㆍ무상급식 지원에 관한 조례,2025-03-19,지방의회 9기,환경,,
64474,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 친환경농업 육성 조례,2025-03-19,지방의회 9기,농림수산,,
64475,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 크루즈산업 육성 및 지원에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64476,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 탄소 없는 섬 조성에 관한 조례,2025-03-19,지방의회 9기,환경,,
64477,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 특화거리 등 골목상권 활성화 지원 조례,2025-03-19,지방의회 9기,경제산업,,
64478,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 특별자치마을 만들기 지원 조례,2025-03-19,지방의회 9기,행정일반,,
64479,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 평생교육 진흥 조례,2025-03-19,지방의회 9기,교육,,
64480,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 폐기물처리시설 주변지역지원 등에 관한 조례,2025-03-19,지방의회 9기,환경,,
64481,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 풍력발전사업 허가 및 지구 지정 등에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64482,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 학교폭력 예방 및 대책 지원에 관한 조례,2025-03-19,지방의회 9기,교육,,
64483,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 한부모가족 지원에 관한 조례,2025-03-19,지방의회 9기,복지,,
64484,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 학술용역 관리 조례,2025-03-19,지방의회 9기,행정일반,,
64485,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 항노화산업 육성 및 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64486,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 해녀문화 보존 및 전승에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64487,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 해수욕장의 이용 및 관리에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64488,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 행정시 권한강화 및 기능개선 지원 기본조례,2025-03-19,지방의회 9기,행정일반,,
64489,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 행정규제 혁신 조례,2025-03-19,지방의회 9기,행정일반,,
64490,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 해양수산연구 자문위원회 조례,2025-03-19,지방의회 9기,농림수산,,
64491,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 행정체제 개편위원회 설치ㆍ운영 조례,2025-03-19,지방의회 9기,행정일반,,
64492,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 향토유산의 보호 및 활용에 관한 조례,2025-03-19,지방의회 9기,문화관광,,
64493,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 헌혈 권장 및 지원에 관한 조례,2025-03-19,지방의회 9기,보건의료,,
64494,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 화학물질관리 조례,2025-03-19,지방의회 9기,안전,,
64495,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 환경산업 육성 및 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64496,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도립공원 관리 조례,2025-03-19,지방의회 9기,환경,,
64497,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도물류정책위원회 조례,2025-03-19,지방의회 9기,경제산업,,
64498,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도보건진료소운영협의회 조례,2025-03-19,지방의회 9기,보건의료,,
64499,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도부동산가격공시위원회 구성 및 운영 조례,2025-03-19,지방의회 9기,건설도시,,
64500,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도와 국가 공공기관과의 상생발전 협력 조례,2025-03-19,지방의회 9기,행정일반,,
64501,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도보건환경연구원 운영ㆍ관리 조례,2025-03-19,지방의회 9기,보건의료,,
64502,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 옴부즈맨 운영 조례,2025-03-19,지방의회 9기,의회,,
64503,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 의원 상해 등 보상금 지급에 관한 조례,2025-03-19,지방의회 9기,의회,,
64504,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 의정자문위원회 설치ㆍ운영 조례,2025-03-19,지방의회 9기,의회,,
64505,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회의원 행동강령 조례,2025-03-19,지방의회 9기,의회,,
64506,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도장애인복지위원회 조례,2025-03-19,지방의회 9기,복지,,
64507,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도지사직 인수위원회 구성 및 운영에 관한 조례,2025-03-19,지방의회 9기,행정일반,,
64508,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도지편찬위원회 조례,2025-03-19,지방의회 9기,문화관광,,
64509,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도지역보건의료심의위원회 조례,2025-03-19,지방의회 9기,보건의료,,
64510,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도항만정책심의회 구성 및 운영에 관한 조례,2025-03-19,지방의회 9기,건설도시,,
64511,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도해양생태ㆍ경관보전지역관리자문위원회 조례,2025-03-19,지방의회 9기,환경,,
64512,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도환경정책위원회 설치 및 운영에 관한 조례,2025-03-19,지방의회 9기,환경,,
64513,광역지자체,제주특별자치도,제주특별자치도,제주항일기념관 설치 및 운영 조례,2025-03-19,지방의회 9기,문화관광,,
64514,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 외국인자문위원회 설치ㆍ운영 조례,2025-03-19,지방의회 9기,복지,,
64515,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 외국인주민 지원 조례,2025-03-19,지방의회 9기,복지,,
64516,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 외국인주민 인권 보장 및 증진 조례,2025-03-19,지방의회 9기,복지,,
64517,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 식품진흥기금 조례,2025-03-19,지방의회 9기,보건의료,,
64518,광역지자체,제주특별자치도,제주특별자치도,제주 더 큰 내일센터 설치 및 운영에 관한 조례,2025-03-19,지방의회 9기,복지,,
64519,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 일자리 창출 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64520,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 유엔기후변화협약 당사국총회 유치위원회 설치 및 지원 등에 관한 조례,2025-03-19,지방의회 9기,환경,,
64521,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 기상산업 육성 및 지원에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64522,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 사회적경제기업 사회성과 측정 및 보상사업에 관한 조례,2025-03-19,지방의회 9기,경제산업,,
64523,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 사회적경제 기본 조례,2025-03-19,지방의회 9기,경제산업,,
64524,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 화재피해주민 지원에 관한 조례,2025-03-19,지방의회 9기,복지,,
64525,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 의원 및 공무원 등의 소송비용 지원에 관한 조례,2024-12-30,지방의회 9기,의회,,
64526,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 서류제출 요구에 관한 조례,2024-12-30,지방의회 9기,의회,,
64527,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도세 조례,2024-12-30,지방의회 9기,행정일반,,
64528,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 민생경제 안정을 위한 긴급 대응에 관한 특별조례,2024-12-30,지방의회 9기,경제산업,,
64529,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 공공시설의 유휴공간 개방 및 이용에 관한 조례,2024-12-30,지방의회 9기,행정일반,,
64530,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 리ㆍ통 및 반 설치 조례,2024-12-30,지방의회 9기,행정일반,,
64531,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 양육비 이행확보 및 지원에 관한 조례,2024-12-30,지방의회 9기,복지,,
64532,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 건축물 해체공사 안전관리 지원 조례,2024-12-30,지방의회 9기,안전,,
64533,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 도시교통정비 촉진에 관한 조례,2024-12-30,지방의회 9기,건설도시,,
64534,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 환경친화적 선박의 보급 촉진 및 이용 활성화 지원 조례,2024-12-30,지방의회 9기,건설도시,,
64535,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 감사위원회 구성 및 운영에 관한 조례,2024-12-30,지방의회 9기,행정일반,,
64536,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 도민안전공제ㆍ보험가입에 관한 조례,2024-12-30,지방의회 9기,안전,,
64537,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 보건소 수수료 등 징수 조례,2024-12-30,지방의회 9기,보건의료,,
64538,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 사무의 공기관 등 대행에 관한 조례,2024-12-30,지방의회 9기,행정일반,,
64539,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 출자ㆍ출연기관 사이버보안 관리 조례,2024-12-30,지방의회 9기,행정일반,,
64540,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 장애인 공동생활가정 지원 조례,2024-12-30,지방의회 9기,복지,,
64541,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도립공원관리 특별회계 설치 및 운영 조례,2024-12-30,지방의회 9기,환경,,
64542,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 도로와 다른 시설의 연결에 관한 조례,2024-12-30,지방의회 9기,건설도시,,
64543,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 환경보건 조례,2024-12-30,지방의회 9기,환경,,
64544,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 청소년수련시설 설치 및 운영 조례,2024-12-30,지방의회 9기,문화관광,,
64545,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 환경분쟁조정피해구제위원회 구성 및 운영 등에 관한 조례,2024-12-30,지방의회 9기,환경,,
64546,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 통합돌봄 지원에 관한 조례,2024-12-30,지방의회 9기,복지,,
64547,광역지자체,제주특별자치도,제주특별자치도,제주아트센터 설치 및 운영 조례,2024-12-30,지방의회 9기,문화관광,,
64548,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 가축방역 조례,2024-12-30,지방의회 9기,농림수산,,
64549,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 개발사업시행 승인 등에 관한 조례,2024-12-30,지방의회 9기,건설도시,,
64550,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 중장년농업인 지원 조례,2024-12-30,지방의회 9기,농림수산,,
64551,광역지자체,제주특별자치도,제주특별자치도,서귀포 예술의전당 설치 및 운영 조례,2024-12-30,지방의회 9기,문화관광,,
64552,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 돌문화 보존 및 전승에 관한 조례,2024-12-30,지방의회 9기,문화관광,,
64553,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 교육국제화특구 육성 및 활성화 조례,2024-12-30,지방의회 9기,교육,,
64554,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 스마트농업 육성 및 지원 조례,2024-12-30,지방의회 9기,농림수산,,
64555,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 15분 도시의 조성 및 지원에 관한 조례,2024-12-30,지방의회 9기,건설도시,,
64556,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 전용차로 운영 조례,2024-12-30,지방의회 9기,건설도시,,
64557,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 한의약 육성 및 지원에 관한 조례,2024-11-11,지방의회 9기,보건의료,,
64558,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 공공산후조리원 설치ㆍ운영 등에 관한 조례,2024-11-11,지방의회 9기,복지,,
64559,광역지자체,제주특별자치도,제주특별자치도,재단법인 제주한의약연구원 설립ㆍ운영에 관한 조례,2024-11-11,지방의회 9기,보건의료,,
64560,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 자율관리어업 공동체 육성 및 지원에 관한 조례,2024-11-11,지방의회 9기,농림수산,,
64561,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 보훈예우수당 지원 조례,2024-11-11,지방의회 9기,복지,,
64562,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 해녀학교 설치 및 운영에 관한 조례,2024-11-11,지방의회 9기,문화관광,,
64563,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 개인정보 보호에 관한 조례,2024-11-11,지방의회 9기,행정일반,,
64564,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 희귀질환 관리 및 지원 조례,2024-10-02,지방의회 9기,보건의료,,
64565,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 치매관리 및 지원에 관한 조례,2024-10-02,지방의회 9기,보건의료,,
64566,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 폭염ㆍ한파 피해 예방 및 지원에 관한 조례,2024-10-02,지방의회 9기,안전,,
64567,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 이불세탁서비스 등 지원 조례,2024-10-02,지방의회 9기,복지,,
64568,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 청년창업 지원 조례,2024-10-02,지방의회 9기,경제산업,,
64569,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 아동보호구역 운영 조례,2024-10-02,지방의회 9기,복지,,
64570,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 경로당 운영 및 활성화에 관한 조례,2024-10-02,지방의회 9기,복지,,
64571,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 시각장애인을 위한 현장영상해설 활성화 지원 조례,2024-10-02,지방의회 9기,복지,,
64572,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 재활용품 수집 노인 및 장애인의 지원에 관한 조례,2024-10-02,지방의회 9기,환경,,
64573,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 실내공기질 관리에 관한 조례,2024-10-02,지방의회 9기,환경,,
64574,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 임업인ㆍ임업관련단체 지원 조례,2024-10-02,지방의회 9기,농림수산,,
64575,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 김만덕객주 설치 및 운영 조례,2024-10-02,지방의회 9기,문화관광,,
64576,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 체육인 복지 조례,2024-10-02,지방의회 9기,복지,,
64577,광역지자체,제주특별자치도,제주특별자치도,제주별빛누리공원 관리 및 운영 조례,2024-10-02,지방의회 9기,문화관광,,
64578,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 보훈교육 지원에 관한 조례,2024-10-02,지방의회 9기,복지,,
64579,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 동물 보호 및 관리 조례,2024-10-02,지방의회 9기,보건의료,,
64580,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 감귤생산 및 유통에 관한 조례,2024-10-02,지방의회 9기,농림수산,,
64581,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 마을기업 등 육성 및 지원 조례,2024-10-02,지방의회 9기,경제산업,,
64582,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 난독증 아동ㆍ청소년 지원 조례,2024-10-02,지방의회 9기,복지,,
64583,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 의원 의정활동비 등 지급에 관한 조례,2024-09-20,지방의회 9기,의회,,
64584,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도의회 시험수당 조례,2024-09-20,지방의회 9기,의회,,
64585,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 공공갈등 예방과 해결에 관한 조례,2024-08-02,지방의회 9기,행정일반,,
64586,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도김만덕상 조례,2024-08-02,지방의회 9기,행정일반,,
64587,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도장한장애인대상 등 시상 조례,2024-08-02,지방의회 9기,복지,,
64588,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 공인 조례,2024-08-02,지방의회 9기,행정일반,,
64589,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 환경성질환 예방ㆍ관리센터 설치 및 운영 조례,2024-08-02,지방의회 9기,보건의료,,
64590,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 사회재난 구호 및 복구 지원에 관한 조례,2024-08-02,지방의회 9기,안전,,
64591,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 녹색제품 구매촉진에 관한 조례,2024-08-02,지방의회 9기,환경,,
64592,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 노선여객자동차운송사업 한정면허 및 마을버스운송사업 등록 등에 관한 조례,2024-08-02,지방의회 9기,건설도시,,
64593,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 공무원 후생복지에 관한 조례,2024-08-02,지방의회 9기,행정일반,,
64594,광역지자체,제주특별자치도,제주특별자치도,제주평생교육장학진흥원 설립 및 운영 조례,2024-08-02,지방의회 9기,교육,,
64595,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 창업ㆍ벤처기업 지원 조례,2024-08-02,지방의회 9기,경제산업,,
64596,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 기업ㆍ기업인 예우 및 기업활동 촉진에 관한 조례,2024-08-02,지방의회 9기,경제산업,,
64597,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 한라수목원 관리ㆍ운영 조례,2024-08-02,지방의회 9기,문화관광,,
64598,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 농어업인 및 농어업관련단체 지원에 관한 조례,2024-08-02,지방의회 9기,농림수산,,
64599,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 양성평등 기본 조례,2024-08-02,지방의회 9기,복지,,
64600,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 화재대피용 방연마스크 비치 및 지원에 관한 조례,2024-08-02,지방의회 9기,안전,,
64601,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 동의 주거지역 중 농어촌지역의 지정에 관한 조례,2024-08-02,지방의회 9기,행정일반,,
64602,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 국가보훈대상자 등 예우 및 지원에 관한 조례,2024-08-02,지방의회 9기,복지,,
64603,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 농어업인 소규모 식품가공사업 육성 및 지원에 관한 조례,2024-08-02,지방의회 9기,농림수산,,
64604,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 선배시민 지원에 관한 조례,2024-08-02,지방의회 9기,복지,,
64605,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 세계환경중심도시 조성 및 지원에 관한 조례,2024-08-02,지방의회 9기,환경,,
64606,광역지자체,제주특별자치도,제주특별자치도,제주권역재활병원 설치 및 운영 조례,2024-08-02,지방의회 9기,보건의료,,
64607,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 학교 밖 청소년 교육ㆍ복지 지원 조례,2024-08-02,지방의회 9기,교육,,
64608,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 폐기물처리시설 주민편익시설 운영 및 관리 조례,2024-08-02,지방의회 9기,환경,,
64609,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 광역음식물류 폐기물 자원화시설 운영ㆍ관리 조례,2024-08-02,지방의회 9기,환경,,
64610,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 광역폐기물소각시설 운영ㆍ관리 조례,2024-08-02,지방의회 9기,환경,,
64611,광역지자체,제주특별자치도,제주특별자치도,제주특별자치도 빈집 및 소규모주택 정비에 관한 조례,2024-08-02,지방의회 9기,건설도시,,
